Item;ESTADO ;BODEGA
1;AMAZONAS;ALIMENTOS AMAZONAS
2;ANZOATEGUI;MERCAL
3;APURE;FUNDACION BATALLA MATA DE LA MIEL
4;APURE;PDVAL
5;ARAGUA;MERCAL A
6;ARAGUA;MERCAL B
7;ARAGUA;SABILVEN
8;ARAGUA;DIANA
9;ARAGUA;CEALCO
10;ARAGUA;PDVAL
11;BARINAS;PDVAL
12;BOLÍVAR;CUSPAL
13;CARABOBO;ALIMCA
14;CARABOBO;DIANA (ALIANZA CON SABILVEN)
15;COJEDES;INDUGRAM Y LA FINA 
16;DELTA AMACURO;WABINOKOIDA
17;DELTA AMACURO;PDVAL
18;CARACAS;PDVAL
19;CARACAS;MERCAL A
20;CARACAS;MERCAL B
21;CARACAS;BICENTENARIO
22;CARACAS;CUSPAL 
23;CARACAS;RED VENEZUELA 
24;CARACAS;INMERCA
25;CARACAS;LOGICASA
26;CARACAS;MINPPAL
27;FALCON;SABILVEN A
28;FALCON;SABILVEN B
29;FALCON;JOSEFA CAMEJO A
30;FALCON;JOSEFA CAMEJO B
31;GUARICO;ALIMENTOS EL GUARICO
32;LARA;ABASTECIMIENTOS LARA 
33;LARA;LACTEOS LOS ANDES
34;LARA;ABASTECER
35;LARA;PDVAL
36;LARA;MERCAL A
37;LARA;MERCAL B
38;LA GUAIRA;ALIMENTOS LA GUAIRA
39;LA GUAIRA;PDVAL
40;MÉRIDA;PDVAL
41;MIRANDA;PDVAL
42;MIRANDA;EMA MIRANDA
43;MIRANDA;CEALCO
44;MIRANDA;ARGELIA LAYA
45;MIRANDA;CAMSA
46;MIRANDA;SUNAGRO
47;MIRANDA MUN. SUCRE;FUNDAPROAL (MUN. SUCRE)
48;MIRANDA MUN. SUCRE;PDVAL (MUN.SUCRE)
49;MIRANDA MUN. SUCRE;CUSPAL (MUN. SUCRE)
50;MONAGAS;ABASTO BICENTENARIO A
51;MONAGAS;ABASTO BICENTENARIO B
52;MONAGAS;SOBERANIA PATRIOTA A
53;MONAGAS;SOBERANIA PATRIOTA B
54;NUEVA ESPARTA;MERCAL
55;NUEVA ESPARTA;DINESA
56;PORTUGUESA;RECDIAL
57;SUCRE;ALIMENTOS DE SUCRE
58;SUCRE;FUNDAPROAL  
59;SUCRE;PDVAL
60;TACHIRA;MERCAL
61;TACHIRA;PDVAL
62;TRUJILLO;DISTAL TRUJILLO
63;TRUJILLO;PDVAL
64;YARACUY;ABASTECIMIENTO YARACUY
65;ZULIA;FUNDAMERCADOS
66;ZULIA;LACTEOS LOS ANDES
;;
;LEYENDA;PLANIFICADA
;;
;;NO PLANIFICADA
;;SUSPENDIDA
;;TOTAL
;;
;;
