Nº;Empresa;Producto:
1;Sabilven;Harina De Yuca
2;Sabilven;Harina De Platano Verde
3;Sabilven;Barras Dermolimpiadoras A Base De Gel Aloe Vera
4;Sabilven;Barras Dermolimpiadoras A Base De Gel Aloe Vera
5;Sabilven;Barras Dermolimpiadoras A Base De Gel Aloe Vera
6;Sabilven;Barras De Jabón Para Lavado De Ropa A Base De Gel Aloe Vera
7;Sabilven;Gel Antibacterial  Con Aloe Vera 
8;Sabilven;Gel De Aloe Vera 1:1 Sin Decolorar
9;Sabilven;Gel De Aloe Vera De Hoja Entera 20:1 Decolorado
10;Sabilven;Gel De Aloe Vera De Hoja Entera 20:1 Decolorado
11;Argelia Laya;Mermelada De Plátano Macho “Mina”
12;La Fina;Palmín Manteca Vegetal
13;La Fina;Cravo Margarina Multiproposito Con Sal 
14;La Fina;Cravo Margarina Multiproposito Sin Sal 
15;Indugram;Finoil
16;Indugram;Palma Fryt
17;La Fina;Finessa Margarina De Mesa
18;La Fina;Lider Untable De Margarina Con Sal
19;La Fina;Choco Crema Crema Untable Sabor A Chocolate
20;Lacteos Los Andes;Leche En Polvo Completa
21;Lacteos Los Andes;Leche En Polvo Completa
22;Lacteos Los Andes;Leche En Polvo Completa
23;Lacteos Los Andes;Leche Pasteurizada
24;Lacteos Los Andes;Leche Pasteurizada
25;Lacteos Los Andes;Chicha De Arroz
26;Lacteos Los Andes;Leche Condesada
27;Lacteos Los Andes;Mantequilla Con Sal
28;Lacteos Los Andes;Mantequilla Con Sal
29;Lacteos Los Andes;Crema De Leche
30;Lacteos Los Andes;Crema De Leche
31;Lacteos Los Andes;Queso Amarillo
32;Lacteos Los Andes;Queso Blanco
33;Lacteos Los Andes;Yogurt Firme De Ciruelas
34;Lacteos Los Andes;Yogurt Firme De Piñas
35;Lacteos Los Andes;Yogurt Firme De Natural
36;Lacteos Los Andes;Yogurt Firme De Fresas
37;Lacteos Los Andes;Yogurt Firme De Duraznos
38;Lacteos Los Andes;Yogurt Dulce Con Cereal Sabor A Frutas
39;Lacteos Los Andes;Yogurt Dulce Con Cereal De Maiz
40;Lacteos Los Andes;Yogurt Dulce Con Cereal De Maiz Azucarado
41;Lacteos Los Andes;Yogurt De Fresa Con Cereal Sabor A Frutas
42;Lacteos Los Andes;Yogurt De Fresa Con Cereal De Maiz
43;Lacteos Los Andes;Yogurt De Fresa Con Cereal De Maiz Azucarado
44;Lacteos Los Andes;Yogurt De Durazno Con Cereal Sabor A Frutas
45;Lacteos Los Andes;Yogurt De Durazno Con Cereal De Maiz
46;Lacteos Los Andes;Yogurt De Durazno Con Cereal De Maiz Azucarado
47;Lacteos Los Andes;Yogurtin Con Fresa
48;Lacteos Los Andes;Yogurtin Con Durazco
49;Lacteos Los Andes;Bebida Lactea Achocolatada
50;Lacteos Los Andes;Bebida Lactea Achocolatada
51;Lacteos Los Andes;Néctar De Manzana 1,8L
52;Lacteos Los Andes;Néctar De Durazno 1,8L
53;Lacteos Los Andes;Néctar De Pera 1,8L
54;Lacteos Los Andes;Néctar De Parchita 1,8L
55;Lacteos Los Andes;Fruit Punch 1,8L
56;Lacteos Los Andes;Naranjada
57;Lacteos Los Andes;Té Con Sabor De Limón
58;Lacteos Los Andes;Té Con Sabor A Durazno
59;Lacteos Los Andes;Néctar De Manzana 
60;Lacteos Los Andes;Néctar De Durazno
61;Lacteos Los Andes;Néctar De Pera
62;Lacteos Los Andes;Néctar De Parchita 
63;Lacteos Los Andes;Naranjada
64;Lacteos Los Andes;Bebida Lactea Achocolatada
65;Lacteos Los Andes;Néctar De Manzana
66;Lacteos Los Andes;Néctar De Durazno
67;Lacteos Los Andes;Néctar De Pera
68;Lacteos Los Andes;Néctar De Mango
69;Lacteos Los Andes;Papelón Con Limón
70;Lacteos Los Andes;Té Con Durazno
71;Lacteos Los Andes;Néctar De Manzana
72;Lacteos Los Andes;Néctar De Durazno
73;Lacteos Los Andes;Néctar De Pera
74;Lacteos Los Andes;Néctar De Piña
75;Lacteos Los Andes;Néctar De Mango
76;Lacteos Los Andes;Papelón Con Limón
77;Lacteos Los Andes;Te Con Limón
78;Lacteos Los Andes;Te Con Durazno
79;Lacteos Los Andes;Mermelada De Fresa
80;Lacteos Los Andes;Mermelada De Fresa
81;Lacteos Los Andes;Mermelada De Guayaba
82;Lacteos Los Andes;Mermelada De Guayaba
83;Lacteos Los Andes;Pasta De Tomate
84;Lacteos Los Andes;Pasta De Tomate
85;Lacteos Los Andes;Ketchup
86;Lacteos Los Andes;Salsa De Cebolla Natural
87;Lacteos Los Andes;Salsa De Cebolla Natural
88;Lacteos Los Andes;Salsa De Cebolla Natural
89;Lacteos Los Andes;Salsa De Cebolla Dulce
90;Lacteos Los Andes;Salsa De Cebolla Dulce
91;Lacteos Los Andes;Salsa De Cebolla Dulce
92;Lacteos Los Andes;Encurtidos En Vinagre
93;Lacteos Los Andes;Encurtidos En Vinagre
94;Industrias Diana;Aceite Comestible De Soya Diana
95;Industrias Diana;Margarina La Estancia 
96;Industrias Diana;Margarina La Estancia 
97;Industrias Diana;Margarina La Estancia Con Sal Y Sin Sal (Uso Industrial)
98;Industrias Diana;Manteca Aura (Uso Industrial)
99;INN;Nutri Chicha
100;INN;Nutri Chicha
101;INN;Nutri Chicha
102;INN;Nutri Cereal
103;INN;Nutri Cereal
104;INN;Nutri Cereal
105;INN;Crema De Arroz
106;INN;Crema De Arroz
107;INN;Nutri Fororo
108;INN;Nutri Fororo
109;INN;Nutri Fororo
110;INN;Nutri Cacao
111;INN;Nutri Cacao
112;INN;Nutri Mañoco
113;INN;Nutri Mañoco
114;INN;Mañoco Enriquecido
115;INN;Mañoco Enriquecido
